gameSlug,videoSrc,imgSrc,url,name,score,type
polar-opposites,https://videos.crazygames.com/null,,http://www.crazygames.com/game/polar-opposites,"
Polar Opposites ","
6.7 ",puzzle
stacko-level-pack,https://videos.crazygames.com/null,,https://www.crazygames.com/game/stacko-level-pack,"
Stacko Level Pack ","
6.9 ",puzzle
tiny-arms-revenge,https://videos.crazygames.com/tiny-arms-revenge.mp4,"https://images.crazygames.com/tinyarmsrevenge.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/tiny-arms-revenge,"
Tiny Arms Revenge ","
7.9 ",puzzle
tilt-and-roll,https://videos.crazygames.com/null,,http://www.crazygames.com/game/tilt-and-roll,"
Tilt And Roll ","
6.5 ",puzzle
jurassic-realm,https://videos.crazygames.com/null,,http://www.crazygames.com/game/jurassic-realm,"
Jurassic Realm ","
6.8 ",puzzle
gravitex-2,https://videos.crazygames.com/null,,http://www.crazygames.com/game/gravitex-2,"
Gravitex 2 ","
6.7 ",puzzle
spook-house,https://videos.crazygames.com/null,,http://www.crazygames.com/game/spook-house,"
Spook House ","
7.2 ",puzzle
i-puzzle-good,https://videos.crazygames.com/i-puzzle-good-trimmed.mp4,"https://images.crazygames.com/ipuzzlegoodb.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/i-puzzle-good,"
I Puzzle Good ","
7.7 ",puzzle
haluz,https://videos.crazygames.com/null,,https://www.crazygames.com/game/haluz,"
Haluz ","
6.7 ",puzzle
sum-points,https://videos.crazygames.com/null,,http://www.crazygames.com/game/sum-points,"
Sum Points ","
6.7 ",puzzle
coins,https://videos.crazygames.com/null,,http://www.crazygames.com/game/coins,"
Coins ","
6.7 ",puzzle
pet-connect,https://videos.crazygames.com/pet-connect.mp4,"https://images.crazygames.com/petconnect.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/pet-connect,"
Pet Connect ","
6.7 ",puzzle
hrq-game,https://videos.crazygames.com/hrq-game.mp4,"https://images.crazygames.com/hrqgame.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/hrq-game,"
HRQ Game ","
6.7 ",puzzle
gorball,https://videos.crazygames.com/null,,http://www.crazygames.com/game/gorball,"
Gorball ","
6.5 ",puzzle
digging-squirly,https://videos.crazygames.com/null,,http://www.crazygames.com/game/digging-squirly,"
Digging Squirly ","
6.7 ",puzzle
spelling-gaps,https://videos.crazygames.com/spelling-gaps-trimmed.mp4,"https://images.crazygames.com/spellinggaps.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/spelling-gaps,"
Spelling Gaps ","
6.4 ",puzzle
similo,https://videos.crazygames.com/similo.mp4,"https://images.crazygames.com/similo.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/similo,"
Similo ","
7.5 ",puzzle
klocki,https://videos.crazygames.com/null,,https://www.crazygames.com/game/klocki,"
Klocki ","
7.4 ",puzzle
clickplaytime-5,https://videos.crazygames.com/null,,http://www.crazygames.com/game/clickplaytime-5,"
ClickPlayTime 5 ","
7.5 ",puzzle
tang,https://videos.crazygames.com/null,,http://www.crazygames.com/game/tang,"
Tang ","
6.8 ",puzzle
swipe-stop,https://videos.crazygames.com/swipe-stop-trimmed.mp4,"https://images.crazygames.com/swipestop.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/swipe-stop,"
Swipe Stop ","
7.2 ",puzzle
switch-or-not,https://videos.crazygames.com/switch-or-not.mp4,"https://images.crazygames.com/switchornot.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/switch-or-not,"
SWITCH or NOT? ","
7.3 ",puzzle
coign-of-vantage,https://videos.crazygames.com/coign-of-vantage.mp4,"https://images.crazygames.com/coignofvantage.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/coign-of-vantage,"
Coign of Vantage ","
6.4 ",puzzle
chemistry,https://videos.crazygames.com/null,,http://www.crazygames.com/game/chemistry,"
Chemistry ","
6.3 ",puzzle
